Id,MSSubClass,MSZoning,Street,LotShape,BldgType,OverallQual,YearBuilt,YearRemodAdd,MasVnrType,HeatingQC,CentralAir,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Fireplaces,GarageCars,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
181,160,FV,Pave,Reg,Twnhs,6,2000,2000,BrkFace,Ex,Y,1525,2,1,3,1,Gd,5,1,2,0,6,2007,WD,Normal,177000
182,70,RL,Pave,Reg,1Fam,7,1920,1950,None,Gd,Y,1802,1,1,4,1,TA,9,1,1,0,7,2006,WD,Normal,200100
183,20,RL,Pave,Reg,1Fam,5,1957,2006,BrkFace,Ex,Y,1340,1,0,3,1,TA,7,1,1,0,6,2007,WD,Normal,120000
184,50,RM,Pave,Reg,1Fam,7,2003,2003,None,Ex,Y,2082,2,1,3,1,Gd,6,0,2,0,6,2008,WD,Normal,200000
185,50,RL,Pave,IR1,1Fam,5,1908,1991,None,Gd,Y,1252,1,0,3,1,TA,5,0,2,0,6,2006,WD,Normal,127000
186,75,RM,Pave,IR2,1Fam,10,1892,1993,None,Ex,Y,3608,2,1,4,1,Ex,12,2,3,0,6,2006,WD,Normal,475000
187,80,RL,Pave,IR1,1Fam,7,1990,1991,None,Ex,Y,1217,2,0,3,1,Gd,6,0,2,0,6,2009,WD,Normal,173000
188,50,RL,Pave,Reg,1Fam,5,1916,1987,None,Ex,Y,1656,2,1,3,1,TA,8,0,1,0,8,2009,WD,Normal,135000
189,90,RL,Pave,Reg,Duplex,5,1979,1979,Stone,TA,Y,1224,0,2,2,2,TA,6,2,2,0,6,2009,WD,Alloca,153337
190,120,RL,Pave,Reg,TwnhsE,8,2001,2002,None,Ex,Y,1593,1,1,0,1,Ex,5,1,2,0,8,2008,WD,Normal,286000
191,70,RL,Pave,Reg,1Fam,8,1932,1994,None,TA,Y,2727,2,1,3,1,Gd,10,2,2,0,12,2007,WD,Normal,315000
192,60,RL,Pave,IR1,1Fam,7,1972,2004,BrkFace,Gd,Y,1479,1,1,4,1,Gd,7,0,2,0,6,2007,WD,Normal,184000
193,20,RL,Pave,IR1,1Fam,7,1999,1999,None,Ex,Y,1431,2,0,3,1,Gd,6,0,2,0,9,2009,WD,Normal,192000
194,160,RM,Pave,Reg,Twnhs,7,2004,2004,Stone,Ex,Y,1709,2,0,3,1,Gd,7,0,2,0,5,2006,WD,Normal,130000
195,20,RL,Pave,IR1,1Fam,5,1972,1972,None,TA,Y,864,1,0,3,1,TA,5,0,1,0,5,2008,WD,Normal,127000
196,160,RL,Pave,Reg,Twnhs,6,1976,1976,None,TA,Y,1456,2,1,3,1,TA,7,1,2,0,7,2009,WD,Normal,148500
197,20,RL,Pave,Reg,1Fam,7,2007,2007,Stone,Ex,Y,1726,2,0,3,1,Ex,8,1,3,0,9,2007,New,Partial,311872
198,75,RL,Pave,Reg,1Fam,8,1918,1990,None,Gd,Y,3112,2,0,4,1,Gd,8,1,2,0,3,2006,WD,Abnorml,235000
199,75,RM,Pave,Reg,1Fam,6,1912,1950,None,Ex,Y,2229,1,0,5,1,TA,8,0,0,0,7,2009,WD,Abnorml,104000
200,20,RL,Pave,Reg,1Fam,8,2004,2005,BrkFace,Ex,Y,1713,2,0,3,1,Ex,7,1,3,0,1,2009,WD,Normal,274900
201,20,RM,Pave,Reg,1Fam,4,2003,2004,None,Ex,Y,1121,2,0,2,1,TA,5,0,2,0,3,2010,WD,Normal,140000
202,20,RL,Pave,Reg,1Fam,6,1977,1977,None,TA,Y,1279,2,0,3,1,TA,6,2,2,0,2,2008,WD,Normal,171500
203,50,RL,Pave,Reg,1Fam,6,1924,1950,None,Gd,Y,1310,2,0,2,1,TA,6,0,1,0,5,2006,COD,Normal,112000
204,120,RM,Pave,Reg,TwnhsE,6,2004,2004,BrkFace,Ex,Y,848,1,0,1,1,Gd,3,1,2,0,1,2008,WD,Normal,149000
205,50,RM,Pave,Reg,1Fam,5,1947,1950,None,TA,Y,1284,1,1,2,1,TA,5,0,1,0,4,2009,WD,Normal,110000
206,20,RL,Pave,Reg,1Fam,7,1990,1990,None,Ex,Y,1442,2,0,3,1,TA,5,0,2,0,5,2009,WD,Normal,180500
207,20,RL,Pave,IR1,1Fam,5,1962,1962,None,TA,Y,1696,1,1,3,1,TA,8,1,1,0,3,2007,WD,Normal,143900
208,20,RL,Pave,IR1,1Fam,4,1960,1960,None,TA,Y,1100,1,0,3,1,TA,6,1,1,0,4,2008,WD,Normal,141000
209,60,RL,Pave,IR1,1Fam,7,1988,1989,BrkFace,Ex,Y,2062,2,1,3,1,TA,7,1,2,0,4,2007,WD,Normal,277000
210,20,RL,Pave,Reg,1Fam,6,1964,1964,Stone,Ex,Y,1092,1,0,3,1,TA,6,0,2,0,7,2008,WD,Normal,145000
211,30,RL,Pave,Reg,1Fam,5,1925,1950,None,TA,N,864,1,0,2,1,TA,5,0,0,0,4,2008,WD,Normal,98000
212,20,RL,Pave,Reg,1Fam,6,2009,2009,None,Ex,Y,1212,2,0,3,1,Gd,6,0,2,0,3,2010,WD,Normal,186000
213,60,FV,Pave,Reg,1Fam,7,2009,2009,None,Ex,Y,1852,2,1,3,1,Gd,7,1,2,0,7,2009,New,Partial,252678
214,20,RL,Pave,IR2,1Fam,5,1995,1995,None,Ex,Y,990,1,0,3,1,TA,5,0,2,0,7,2006,WD,Normal,156000
215,60,RL,Pave,IR1,1Fam,6,1977,1977,BrkFace,Ex,Y,1392,1,1,3,1,TA,6,0,1,450,3,2010,WD,Normal,161750
216,20,RL,Pave,IR1,1Fam,5,1957,1996,BrkFace,TA,Y,1236,1,0,2,1,Gd,6,1,1,0,5,2006,WD,Normal,134450
217,20,RL,Pave,Reg,1Fam,7,2004,2004,BrkFace,Ex,Y,1436,2,0,3,1,Gd,8,0,2,0,4,2008,WD,Normal,210000
218,70,RM,Pave,Reg,1Fam,4,1925,1950,None,Fa,N,1328,1,0,3,1,TA,8,0,1,0,9,2006,WD,Family,107000
219,50,RL,Pave,IR1,1Fam,7,1939,2006,BrkFace,Ex,Y,1954,1,1,3,1,Gd,8,2,2,0,5,2008,WD,Normal,311500
220,120,RL,Pave,Reg,TwnhsE,7,2005,2006,BrkFace,Ex,Y,1248,2,0,2,1,Gd,5,0,2,0,3,2006,New,Partial,167240
221,20,RL,Pave,IR1,1Fam,7,2006,2006,None,Ex,Y,1498,2,0,2,1,Gd,5,0,2,0,4,2006,New,Partial,204900
222,60,RL,Pave,IR1,1Fam,6,2002,2002,None,Ex,Y,2267,2,1,4,1,Gd,8,1,2,0,12,2009,ConLI,Normal,200000
223,60,RL,Pave,Reg,1Fam,6,1975,1975,None,TA,Y,1552,2,1,3,1,TA,6,1,2,0,2,2006,WD,Normal,179900
224,20,RL,Pave,Reg,1Fam,4,1971,1971,None,Gd,Y,864,1,0,2,1,TA,4,0,2,0,3,2009,WD,Abnorml,97000
225,20,RL,Pave,Reg,1Fam,10,2003,2003,BrkFace,Ex,Y,2392,2,0,3,1,Ex,8,1,3,0,6,2009,WD,Normal,386250
226,160,RM,Pave,Reg,Twnhs,5,1971,1971,BrkFace,TA,Y,1302,2,1,3,1,TA,6,0,1,0,5,2009,COD,Abnorml,112000
227,60,RL,Pave,IR1,1Fam,7,1995,1995,BrkFace,Ex,Y,2520,2,1,4,1,Gd,9,1,3,0,6,2007,WD,Abnorml,290000
228,160,RM,Pave,Reg,Twnhs,6,1970,1970,BrkFace,TA,Y,987,1,1,2,1,TA,5,0,1,0,9,2008,WD,Normal,106000
229,20,RL,Pave,Reg,1Fam,5,1967,1967,None,TA,Y,912,1,0,3,1,TA,5,1,1,0,5,2010,WD,Normal,125000
230,120,RL,Pave,Reg,TwnhsE,7,2005,2006,BrkFace,Ex,Y,1555,2,0,2,1,Gd,7,1,2,0,5,2009,WD,Normal,192500
231,20,RL,Pave,Reg,1Fam,6,1959,1959,BrkFace,TA,Y,1194,1,0,3,1,TA,6,0,1,0,4,2010,WD,Normal,148000
232,60,RL,Pave,IR1,1Fam,8,1995,1996,BrkFace,Ex,Y,2794,2,1,4,1,Ex,9,1,3,0,7,2009,WD,Normal,403000
233,160,RM,Pave,Reg,Twnhs,6,1972,1972,BrkFace,TA,Y,987,1,1,2,1,TA,5,1,1,0,6,2006,WD,Normal,94500
234,20,RL,Pave,Reg,1Fam,5,1976,1976,None,TA,Y,894,1,0,3,1,TA,5,0,1,0,2,2010,WD,Normal,128200
235,60,RL,Pave,Reg,1Fam,6,2002,2002,NA,Ex,Y,1960,2,1,4,1,Gd,8,2,2,0,5,2010,WD,Normal,216500
236,160,RM,Pave,Reg,TwnhsE,6,1971,1971,BrkFace,TA,Y,987,1,1,2,1,TA,5,0,1,0,8,2008,WD,Normal,89500
237,20,RL,Pave,Reg,1Fam,7,2004,2004,BrkFace,Ex,Y,1414,2,0,3,1,Gd,6,0,2,0,5,2010,WD,Normal,185500
238,60,RL,Pave,IR1,1Fam,7,1993,2003,None,Ex,Y,1744,2,1,3,1,Gd,7,0,2,0,2,2010,WD,Normal,194500
239,20,RL,Pave,Reg,1Fam,8,2007,2007,BrkFace,Ex,Y,1694,2,0,3,1,Gd,7,0,3,0,12,2007,New,Partial,318000
240,50,RL,Pave,Reg,1Fam,6,1945,1950,None,TA,Y,1487,1,1,3,1,TA,7,1,1,0,4,2010,WD,Normal,113000
241,20,FV,Pave,Reg,1Fam,8,2008,2008,Stone,Ex,Y,1566,2,0,3,1,Gd,7,0,2,0,4,2010,WD,Normal,262500
242,30,RM,Pave,Reg,1Fam,5,1945,1997,None,Gd,Y,866,1,0,2,1,Gd,4,0,0,0,8,2007,WD,Normal,110500
243,50,RM,Pave,Reg,1Fam,5,1900,1950,None,Gd,N,1440,1,0,3,1,TA,6,0,1,0,4,2006,WD,Normal,79000
244,160,RL,Pave,Reg,TwnhsE,6,1980,1980,None,TA,Y,1217,1,1,3,1,TA,6,1,1,0,4,2009,WD,Normal,120000
245,60,RL,Pave,IR1,1Fam,7,1994,2002,None,Ex,Y,2110,2,1,3,1,Gd,8,2,2,0,5,2010,WD,Normal,205000
246,20,RL,Pave,Reg,1Fam,7,1988,1988,BrkFace,Gd,Y,1872,2,0,3,1,TA,6,1,2,0,6,2006,WD,Normal,241500
247,190,RM,Pave,Reg,2fmCon,6,1910,1950,None,Gd,N,1928,2,0,4,2,Fa,9,0,1,0,4,2006,WD,Normal,137000
248,20,RL,Pave,Reg,1Fam,6,1954,1954,None,Ex,Y,1375,1,0,2,1,TA,5,1,2,0,6,2006,WD,Normal,140000
249,60,RL,Pave,Reg,1Fam,7,2003,2003,BrkFace,Ex,Y,1668,2,1,3,1,Gd,8,0,2,0,9,2007,WD,Normal,180000
250,50,RL,Pave,IR2,1Fam,6,1958,2006,BrkCmn,Gd,Y,2144,2,0,4,1,Gd,7,2,2,500,6,2007,WD,Normal,277000
251,30,RL,Pave,IR1,1Fam,3,1940,1966,None,Ex,Y,1306,1,0,3,1,Fa,6,0,0,450,5,2010,WD,Normal,76500
252,120,RM,Pave,IR1,TwnhsE,8,2006,2007,Stone,Ex,Y,1625,2,0,2,1,Gd,5,1,2,0,12,2007,WD,Family,235000
253,60,RL,Pave,IR1,1Fam,6,2004,2004,None,Ex,Y,1640,2,1,3,1,Gd,6,0,2,0,12,2008,WD,Normal,173000
254,80,RL,Pave,Reg,1Fam,6,1964,1991,BrkFace,Ex,Y,1302,2,0,3,1,Gd,7,0,1,0,10,2007,CWD,Normal,158000
255,20,RL,Pave,Reg,1Fam,5,1957,1957,None,TA,Y,1314,1,0,3,1,TA,5,0,1,0,6,2010,WD,Normal,145000
256,60,RL,Pave,IR1,1Fam,7,1999,1999,BrkFace,Ex,Y,2291,2,1,4,1,Gd,8,1,2,0,2,2006,WD,Normal,230000
257,60,FV,Pave,IR1,1Fam,6,2003,2003,None,Ex,Y,1728,2,1,3,1,Gd,7,0,2,0,5,2008,WD,Normal,207500
258,20,RL,Pave,Reg,1Fam,7,2006,2006,Stone,Ex,Y,1604,2,1,3,1,Gd,8,1,2,0,3,2009,WD,Abnorml,220000
259,60,RL,Pave,Reg,1Fam,7,2001,2001,BrkFace,Ex,Y,1792,2,1,3,1,Gd,7,1,2,0,5,2008,WD,Normal,231500
260,20,RM,Pave,Reg,1Fam,5,1956,1956,None,Gd,Y,882,1,0,2,1,TA,4,0,1,0,12,2008,WD,Normal,97000
261,80,RL,Pave,Reg,1Fam,6,1962,1962,BrkFace,TA,Y,1382,1,0,3,1,TA,6,1,2,0,5,2009,WD,Normal,176000
262,60,RL,Pave,IR1,1Fam,8,2007,2007,Stone,Ex,Y,2574,2,1,3,1,Ex,10,1,3,0,11,2007,New,Partial,276000
263,80,RL,Pave,IR1,1Fam,6,1977,1995,BrkFace,TA,Y,1212,1,0,3,1,TA,6,1,2,0,7,2006,WD,Normal,151000
264,50,RM,Pave,Reg,1Fam,5,1929,2001,None,TA,Y,1316,1,0,3,1,TA,6,0,2,0,4,2010,WD,Normal,130000
265,30,RM,Pave,IR3,1Fam,5,1925,2004,None,Gd,N,764,1,0,2,1,TA,4,0,2,0,6,2008,WD,Normal,73000
266,20,RL,Pave,IR1,1Fam,6,1981,1981,BrkFace,TA,Y,1422,2,0,3,1,Gd,7,1,2,0,6,2008,WD,Normal,175500
267,60,RL,Pave,IR1,1Fam,6,1997,1997,None,Gd,Y,1511,2,1,3,1,TA,8,1,2,0,6,2006,WD,Normal,185000
268,75,RL,Pave,Reg,1Fam,5,1939,1997,None,Ex,Y,2192,2,1,4,1,Gd,8,1,1,0,7,2008,WD,Normal,179500
269,30,RM,Pave,Reg,1Fam,5,1940,1955,None,Ex,Y,778,1,0,2,1,TA,4,1,1,0,2,2008,WD,Normal,120500
270,20,RL,Pave,IR1,1Fam,6,1976,1976,BrkFace,TA,Y,1113,1,1,3,1,TA,6,1,1,0,5,2007,WD,Normal,148000
271,60,FV,Pave,Reg,1Fam,8,2006,2006,None,Gd,Y,1939,2,1,3,1,Gd,8,1,3,0,8,2006,New,Partial,266000
272,20,RL,Pave,IR1,1Fam,7,1954,2005,None,Ex,Y,1363,1,0,2,1,TA,5,2,2,0,4,2008,WD,Normal,241500
273,60,RL,Pave,IR1,1Fam,8,1999,2007,BrkFace,Ex,Y,2270,2,1,4,1,Gd,9,1,3,0,4,2010,WD,Normal,290000
274,20,RL,Pave,Reg,1Fam,6,1958,1988,BrkCmn,Gd,Y,1632,2,0,3,1,TA,6,1,1,0,4,2009,WD,Normal,139000
275,20,RL,Pave,Reg,1Fam,5,1982,1982,None,TA,Y,816,1,0,2,1,TA,5,0,1,0,6,2007,WD,Normal,124500
276,50,RL,Pave,Reg,1Fam,7,1925,2007,None,Gd,N,1548,2,1,3,1,Ex,5,0,2,0,10,2009,WD,Normal,205000
277,20,RL,Pave,IR1,1Fam,7,2003,2003,None,Ex,Y,1560,2,0,3,1,Gd,7,0,2,0,4,2010,WD,Normal,201000
278,20,RL,Pave,Reg,1Fam,4,1951,1951,None,Ex,Y,864,1,0,2,1,TA,4,0,2,0,6,2010,WD,Normal,141000
279,20,RL,Pave,Reg,1Fam,9,2006,2007,BrkFace,Ex,Y,2121,2,1,3,1,Ex,8,1,3,0,5,2007,New,Partial,415298
280,60,RL,Pave,Reg,1Fam,7,1977,1977,BrkFace,Ex,Y,2022,2,1,4,1,TA,8,1,2,0,3,2008,WD,Normal,192000
281,60,RL,Pave,Reg,1Fam,7,1989,1989,BrkFace,Gd,Y,1982,2,1,3,1,Gd,7,1,2,0,1,2007,WD,Normal,228500
282,20,FV,Pave,Reg,1Fam,6,2006,2006,Stone,Gd,Y,1262,2,0,2,1,Gd,5,0,2,0,5,2006,New,Partial,185000
283,120,RL,Pave,Reg,Twnhs,7,2007,2008,Stone,Ex,Y,1314,2,0,2,1,Gd,6,1,2,0,4,2009,ConLw,Normal,207500
284,20,RL,Pave,Reg,1Fam,8,2008,2009,Stone,Ex,Y,1468,2,0,3,1,Gd,6,1,3,0,12,2009,New,Partial,244600
285,120,RL,Pave,Reg,TwnhsE,6,1992,1992,None,Gd,Y,1575,2,0,2,1,Gd,5,0,2,0,7,2007,WD,Normal,179200
286,160,FV,Pave,IR1,TwnhsE,7,2006,2007,None,Ex,Y,1250,2,1,2,1,Gd,5,0,2,0,6,2007,New,Partial,164700
287,50,RL,Pave,IR1,1Fam,6,1962,1981,None,TA,Y,1734,1,1,3,1,Gd,7,1,2,0,6,2006,WD,Normal,159000
288,20,RL,Pave,IR1,1Fam,4,1971,1971,None,TA,Y,858,1,0,3,1,TA,5,0,0,0,6,2006,WD,Normal,88000
289,20,RL,Pave,IR1,1Fam,5,1967,1967,BrkFace,TA,Y,900,1,0,3,1,TA,5,0,1,0,2,2010,WD,Normal,122000
290,70,RL,Pave,Reg,1Fam,6,1915,2003,None,Ex,Y,1396,1,0,3,1,TA,7,0,1,0,7,2007,WD,Normal,153575
291,60,RL,Pave,Reg,1Fam,8,2006,2006,None,Ex,Y,1919,2,1,3,1,Gd,8,1,2,0,7,2006,New,Partial,233230
292,190,RL,Pave,Reg,2fmCon,5,1912,2000,None,Ex,N,1716,2,0,6,1,Fa,9,0,0,0,3,2008,WD,Normal,135900
293,50,RL,Pave,Reg,1Fam,5,1949,2008,None,Gd,Y,1716,1,1,3,1,TA,8,1,1,0,1,2009,WD,Normal,131000
294,60,RL,Pave,IR1,1Fam,7,1977,1994,BrkFace,Fa,Y,2263,2,1,3,1,Gd,9,1,2,0,3,2006,WD,Normal,235000
295,20,RL,Pave,Reg,1Fam,6,1953,1953,Stone,TA,Y,1644,1,0,3,1,TA,7,2,2,0,10,2009,WD,Normal,167000
296,80,RL,Pave,IR1,1Fam,6,1984,1984,None,TA,Y,1003,1,0,3,1,TA,6,0,2,0,3,2006,WD,Normal,142500
297,50,RM,Pave,Reg,1Fam,5,1950,1950,None,TA,Y,1558,1,1,4,1,TA,6,0,1,0,6,2007,WD,Normal,152000
298,60,FV,Pave,IR1,1Fam,7,1997,1998,BrkFace,Ex,Y,1950,2,1,3,1,Gd,7,1,2,0,6,2007,WD,Normal,239000
299,60,RL,Pave,Reg,1Fam,6,1968,1968,BrkFace,Gd,Y,1743,1,2,3,1,TA,7,1,2,0,6,2007,WD,Normal,175000
300,20,RL,Pave,Reg,1Fam,6,1950,2004,None,Ex,Y,1152,1,0,3,1,Gd,6,1,1,0,8,2009,WD,Family,158500
301,190,RL,Pave,Reg,2fmCon,5,1953,1953,BrkFace,TA,Y,1336,1,0,2,1,TA,5,2,1,0,6,2006,WD,Normal,157000
302,60,RL,Pave,IR3,1Fam,8,1998,1999,None,Ex,Y,2452,2,1,4,1,Gd,9,1,2,0,5,2007,WD,Normal,267000
303,20,RL,Pave,IR1,1Fam,7,2001,2002,BrkFace,Ex,Y,1541,2,0,3,1,Gd,6,1,3,0,1,2006,WD,Normal,205000
304,20,RL,Pave,Reg,1Fam,5,1972,1972,None,TA,Y,894,1,0,3,1,TA,5,0,2,0,7,2006,WD,Abnorml,149900
305,75,RM,Pave,Reg,1Fam,7,1880,2002,None,Ex,Y,3493,3,0,3,1,Gd,10,1,3,0,5,2008,WD,Normal,295000
306,20,RL,Pave,Reg,1Fam,8,2004,2005,Stone,Ex,Y,2000,2,0,3,1,Gd,8,0,3,0,7,2007,WD,Normal,305900
307,60,RL,Pave,Reg,1Fam,7,1990,1991,BrkFace,Gd,Y,2243,2,1,4,1,Gd,8,1,3,0,6,2007,WD,Normal,225000
308,50,RM,Pave,IR1,1Fam,6,1920,1950,None,TA,Y,1406,1,0,3,1,Fa,6,0,0,0,3,2008,WD,Normal,89500
309,30,RL,Pave,IR1,1Fam,4,1940,1950,None,Ex,Y,861,1,0,1,1,TA,4,0,2,0,3,2009,WD,Normal,82500
310,20,RL,Pave,IR1,1Fam,9,2003,2004,None,Ex,Y,1944,2,0,3,1,Ex,8,3,3,0,11,2006,WD,Normal,360000
311,60,RL,Pave,IR1,1Fam,6,1993,1994,BrkFace,Gd,Y,1501,2,1,3,1,Gd,6,1,2,0,5,2006,WD,Normal,165600
312,20,RL,Pave,Reg,1Fam,6,1948,2002,None,Ex,Y,972,1,0,2,1,TA,5,1,1,0,5,2009,WD,Normal,132000
313,190,RM,Pave,Reg,2fmCon,5,1939,1950,None,TA,Y,1118,1,0,3,1,TA,5,1,2,0,5,2006,WD,Normal,119900
314,20,RL,Pave,IR3,1Fam,7,1965,1965,None,TA,Y,2036,2,0,3,1,TA,8,2,2,0,6,2009,WD,Normal,375000
315,70,RM,Pave,Reg,1Fam,7,1925,1990,None,Ex,Y,1641,1,1,3,1,Ex,6,1,2,0,8,2006,WD,Normal,178000
316,60,RL,Pave,IR1,1Fam,7,2004,2005,None,Ex,Y,1432,2,1,3,1,Gd,6,1,2,0,7,2009,WD,Normal,188500
317,60,RL,Pave,IR1,1Fam,7,1980,1980,BrkFace,TA,Y,2353,2,1,4,1,Ex,10,1,2,0,8,2009,WD,Normal,260000
318,60,FV,Pave,Reg,1Fam,8,2006,2006,None,Ex,Y,1959,2,1,3,1,Gd,8,1,3,0,12,2007,WD,Normal,270000
319,60,RL,Pave,Reg,1Fam,7,1993,1993,BrkFace,Ex,Y,2646,2,1,4,1,Gd,9,1,3,0,4,2009,WD,Normal,260000
320,80,RL,Pave,Reg,1Fam,7,1980,1980,BrkFace,TA,Y,1472,2,0,3,1,TA,6,2,2,0,6,2009,WD,Normal,187500
321,60,RL,Pave,Reg,1Fam,9,2006,2006,Stone,Ex,Y,2596,3,1,4,1,Gd,9,0,3,0,9,2006,New,Partial,342643
322,60,RL,Pave,IR1,1Fam,8,2004,2004,BrkFace,Ex,Y,2468,2,1,4,1,Gd,10,1,3,0,6,2007,WD,Normal,354000
323,60,RL,Pave,IR1,1Fam,7,1986,1987,BrkFace,Ex,Y,2730,2,1,4,1,Gd,8,1,2,0,8,2007,WD,Normal,301000
324,20,RM,Pave,Reg,1Fam,3,1955,2005,None,Ex,Y,1163,1,0,3,1,TA,6,0,1,0,7,2006,WD,Normal,126175
325,80,RL,Pave,Reg,1Fam,7,1967,2007,BrkFace,Ex,Y,2978,2,1,5,1,Gd,11,1,2,0,6,2010,WD,Normal,242000
326,45,RM,Pave,Reg,1Fam,5,1941,1950,None,Po,N,803,1,0,2,1,TA,5,0,2,0,12,2007,WD,Normal,87000
327,120,RL,Pave,IR1,TwnhsE,8,1993,1993,None,Ex,Y,1719,1,1,1,1,Gd,6,2,2,0,5,2008,Con,Normal,324000
328,20,RL,Pave,Reg,1Fam,6,1960,1960,BrkFace,TA,Y,1383,1,1,3,1,TA,7,0,1,0,4,2006,WD,Normal,145250
329,75,RL,Pave,IR1,1Fam,6,1916,1994,None,Gd,N,2134,2,0,5,1,Gd,10,0,2,0,7,2009,WD,Normal,214500
330,70,RM,Pave,Reg,1Fam,5,1920,1950,None,TA,N,1192,1,0,3,1,TA,6,0,1,0,7,2009,WD,Normal,78000
331,90,RL,Pave,IR1,Duplex,5,1964,1964,BrkFace,TA,Y,1728,2,0,6,2,TA,10,0,1,0,11,2007,WD,Normal,119000
332,20,RL,Pave,Reg,1Fam,5,1958,1992,None,Fa,Y,1056,1,0,3,1,TA,6,0,1,0,8,2007,WD,Normal,139000
333,20,RL,Pave,IR1,1Fam,8,2003,2004,BrkFace,Ex,Y,1629,2,0,3,1,Gd,7,1,3,0,10,2009,WD,Normal,284000
334,120,RM,Pave,Reg,TwnhsE,7,2004,2004,Stone,Ex,Y,1358,2,0,2,1,Gd,6,1,2,0,7,2008,WD,Normal,207000
335,60,RL,Pave,IR1,1Fam,6,1998,1998,None,Gd,Y,1638,2,1,3,1,TA,7,2,2,0,7,2008,WD,Normal,192000
336,190,RL,Grvl,IR1,2fmCon,5,1965,1965,None,Ex,Y,1786,2,0,3,1,TA,7,2,2,700,8,2008,WD,Normal,228950
337,20,RL,Pave,IR1,1Fam,9,2005,2006,Stone,Ex,Y,1922,2,0,3,1,Gd,8,1,3,0,7,2007,WD,Normal,377426
338,20,RL,Pave,Reg,1Fam,7,2002,2003,BrkFace,Ex,Y,1536,2,0,3,1,Gd,7,0,2,0,12,2008,WD,Normal,214000
339,20,RL,Pave,Reg,1Fam,7,1984,1998,None,Ex,Y,1621,2,0,3,1,Gd,8,0,2,400,5,2006,WD,Normal,202500
340,20,RL,Pave,IR1,1Fam,6,1958,1998,BrkFace,TA,Y,1215,1,0,3,1,TA,6,0,1,0,6,2009,WD,Normal,155000
341,60,RL,Pave,Reg,1Fam,8,2002,2002,None,Ex,Y,1908,2,1,4,1,Gd,9,0,2,0,4,2010,WD,Normal,202900
342,20,RH,Pave,Reg,1Fam,4,1950,1950,None,Gd,Y,841,1,0,2,1,TA,4,0,1,0,9,2009,WD,Normal,82000
343,90,RL,Pave,Reg,Duplex,3,1949,1950,BrkFace,Fa,N,1040,2,0,2,2,TA,6,0,2,0,5,2006,WD,Normal,87500
344,120,RL,Pave,IR1,TwnhsE,9,2005,2005,BrkFace,Ex,Y,1684,2,0,2,1,Ex,6,1,2,0,7,2008,WD,Normal,266000
345,160,RM,Pave,Reg,TwnhsE,5,1976,1976,None,TA,Y,1112,1,1,3,1,TA,4,0,1,0,4,2010,WD,Normal,85000
346,50,RL,Pave,Reg,1Fam,6,1939,1950,None,Gd,Y,1577,1,0,3,1,Fa,6,1,1,0,10,2006,WD,Normal,140200
347,20,RL,Pave,IR1,1Fam,6,1960,1998,None,TA,Y,958,1,0,2,1,TA,5,0,1,15500,4,2007,WD,Normal,151500
348,20,RL,Pave,IR1,1Fam,6,1960,1960,BrkFace,Ex,Y,1478,2,0,3,1,TA,6,2,2,0,12,2009,WD,Normal,157500
349,160,RL,Pave,Reg,Twnhs,7,2003,2004,Stone,Ex,Y,1626,2,1,2,1,Gd,6,0,2,0,10,2008,WD,Normal,154000
350,60,RL,Pave,IR2,1Fam,9,2005,2006,BrkFace,Ex,Y,2728,2,1,4,1,Ex,10,2,3,0,4,2006,New,Partial,437154
351,120,RL,Pave,IR1,TwnhsE,9,2007,2007,BrkFace,Ex,Y,1869,2,0,2,1,Ex,6,1,2,0,12,2007,New,Partial,318061
352,120,RL,Pave,IR1,1Fam,7,1986,1986,None,Gd,Y,1453,1,1,2,1,Gd,6,1,2,0,12,2006,WD,Abnorml,190000
353,50,RL,Pave,Reg,1Fam,5,1941,1950,None,TA,N,1111,1,0,3,1,TA,5,0,1,0,3,2008,ConLw,Normal,95000
354,30,RM,Pave,Reg,1Fam,6,1928,2003,None,Gd,Y,720,1,0,2,1,TA,5,0,2,0,5,2010,WD,Normal,105900
355,50,RL,Pave,Reg,1Fam,6,1940,2000,None,Ex,Y,1595,1,0,2,1,TA,6,2,1,0,6,2006,WD,Normal,140000
356,20,RL,Pave,IR2,1Fam,6,1995,1995,None,Ex,Y,1200,2,0,3,1,Gd,6,0,2,0,8,2007,WD,Normal,177500
357,20,RL,Pave,IR1,1Fam,6,1992,1992,BrkFace,Gd,Y,1167,2,0,3,1,Gd,6,0,2,0,7,2009,WD,Normal,173000
358,120,RM,Pave,Reg,TwnhsE,5,1976,1976,None,TA,Y,1142,1,1,3,1,TA,6,1,2,0,8,2007,WD,Normal,134000
359,80,RL,Pave,IR1,1Fam,5,1958,1958,BrkFace,Ex,Y,1352,1,0,3,1,Gd,6,0,1,0,7,2006,WD,Abnorml,130000
360,60,RL,Pave,IR1,1Fam,8,1998,1998,BrkFace,Ex,Y,1924,2,1,3,1,Gd,7,1,2,0,6,2006,WD,Normal,280000
361,85,RL,Pave,IR1,1Fam,6,1978,1978,None,Ex,Y,912,1,0,2,1,TA,5,1,2,0,6,2007,WD,Normal,156000
362,50,RL,Pave,Reg,1Fam,5,1940,1982,None,Gd,Y,1505,1,0,3,1,TA,8,0,1,0,7,2008,WD,Normal,145000
